Ticker,Nome,Razão Social,Setor de Atuação,Segmento
MILS3,Mills,MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A,Bens Industriais,Máq. e Equip. Industriais
MLAS3,Multilaser,GRUPO MULTI S.A.,Tecnologia da Informação,Computadores e Equipamentos
MMAQ4,Minasmáquinas,MINASMAQUINAS S.A.,Bens Industriais,Material de Transporte
MNDL3,Mundial,MUNDIAL S.A. - PRODUTOS DE CONSUMO,Consumo Cíclico,Acessórios
MNPR3,Minupar,MINUPAR PARTICIPACOES S.A.,Consumo não Cíclico,Carnes e Derivados
MOVI3,Movida,MOVIDA PARTICIPACOES SA,Consumo Cíclico,Aluguel de carros
MRFG3,Marfrig,MARFRIG GLOBAL FOODS S.A.,Consumo não Cíclico,Carnes e Derivados
MRSA3B,MRS Logística,MRS LOGISTICA S.A.,Bens Industriais,Transporte Ferroviário
MRVE3,MRV,MRV ENGENHARIA E PARTICIPACOES S.A.,Consumo Cíclico,Incorporações
MTRE3,Mitre Realty,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,Consumo Cíclico,Incorporações
MTSA4,Metisa,METISA METALURGICA TIMBOENSE S.A.,Bens Industriais,Máq. e Equip. Construção e Agrícolas
MULT3,Multiplan,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Financeiro,Exploração de Imóveis
MWET3,Wetzel,WETZEL S.A.,Bens Industriais,Material Rodoviário
MWET4,Wetzel,WETZEL S.A.,Bens Industriais,Material Rodoviário
MYPK3,Iochpe-Maxion,IOCHPE MAXION S.A.,Consumo Cíclico,Automóveis e Motocicletas
NEOE3,Neoenergia,NEOENERGIA S.A.,Utilidade Pública,Energia Elétrica
NEXP3,Brasil Brokers,NEXPE PARTICIPAÇÕES S.A,Financeiro,Intermediação Imobiliária
NGRD3,Neogrid,NEOGRID PARTICIPACOES S.A.,Tecnologia da Informação,Programas e Serviços
NINJ3,GetNinjas,REAG INVESTIMENTOS S.A.,Tecnologia da Informação,Programas e Serviços
NORD3,Nordon,NORDON INDUSTRIAS METALURGICAS S.A.,Bens Industriais,Máq. e Equip. Industriais
NTCO3,Natura,NATURA &CO HOLDING S.A.,Consumo não Cíclico,Produtos de Uso Pessoal
NUTR3,Nutriplant,NUTRIPLANT INDUSTRIA E COMERCIO S.A.,Materiais Básicos,Fertilizantes e Defensivos
ODPV3,Odontoprev,ODONTOPREV S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
OFSA3,Ourofino Saúde Animal,OUROFINO S.A.,Saúde,Medicamentos e Outros Produtos
OIBR3,Oi,OI S.A.,Comunicações,Telecomunicações
OIBR4,Oi,OI S.A.,Comunicações,Telecomunicações
ONCO3,Oncoclínicas,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos
OPCT3,OceanPact,OCEANPACT SERVICOS MARITIMOS S.A.,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços
ORVR3,Orizon,ORIZON VALORIZACAO DE RESIDUOS S.A.,Utilidade Pública,Água e Saneamento
